generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765430243-djALiLLJEaHLkJBkMqAA,2025-12-11 05:17:23.977,0,,,0,0.001796,351,289,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2517,594,,GenEval
gen-1765430242-n6u4fUll1WxcXR4gnvtc,2025-12-11 05:17:22.967,0,,,,0.000602,130,44,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,334,375,,GenEval
gen-1765430240-ABen1hnLjfKIV3eX1HHa,2025-12-11 05:17:20.607,0,,-0.000176,0,0.000565,657,218,0,653,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1712,821,,GenEval
gen-1765430237-yTDvRpLDorLr8h5p6Xcw,2025-12-11 05:17:17.454,0,,-0.000176,0,0.001015,657,398,0,653,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,2747,725,,GenEval
gen-1765430234-KXx7rZDiMOCraMC3jJGw,2025-12-11 05:17:14.679,0,,,0,0.001082,657,354,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,2404,644,,GenEval
gen-1765430229-h8WGqDp3c9aJjNuTCmAY,2025-12-11 05:17:09.952,0,,,0,0.002779,419,472,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3576,1042,,GenEval
gen-1765430226-I6x2L9NlrTiMx4gwBWp3,2025-12-11 05:17:06.269,0,,,0,0.001289,409,176,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1391,1966,,GenEval
gen-1765430223-ai5X8gC3ldA6KvpCCeQ9,2025-12-11 05:17:03.604,0,,,0,0.001704,414,258,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1614,676,,GenEval
gen-1765430222-YTwIaZlOs5Yfy38RXNMK,2025-12-11 05:17:02.434,0,,,,0.000915,124,76,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,489,278,,GenEval
gen-1765430219-MDf37UzN9dyPMdpbuiDL,2025-12-11 05:16:59.609,0,,,0,0.001441,341,220,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1661,1038,,GenEval
gen-1765430218-xNTkhMaLCPhdeLfPLLIL,2025-12-11 05:16:58.200,0,,,,0.000983,203,73,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,512,460,,GenEval
gen-1765430214-YHP5tWhou6wOGRdh913c,2025-12-11 05:16:54.797,0,,,0,0.001757,347,282,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2681,590,,GenEval
gen-1765430212-n4ijtk3hiQNyy79uOmpg,2025-12-11 05:16:52.473,0,,,,0.000965,124,81,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,1135,323,,GenEval
gen-1765430210-LCFS1HjcYCXDVbzX4ySr,2025-12-11 05:16:50.826,0,,,,0.000985,164,78,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,347,830,,GenEval
gen-1765430209-vuYM4Pj2sp6U0VGbNhRF,2025-12-11 05:16:49.255,0,,,0,0.000506,363,159,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1367,622,,GenEval
gen-1765430207-xdShgkSV2Ra3J29kd4tD,2025-12-11 05:16:47.901,0,,,,0.001077,158,88,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,479,312,,GenEval
gen-1765430206-awLLxz6o7pB9kTzuvZjF,2025-12-11 05:16:46.302,0,,,0,0.000561,363,181,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1513,581,,GenEval
gen-1765430204-9E9RdQ2iMQVWSvrMglba,2025-12-11 05:16:44.529,0,,,,0.00111,144,93,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,588,717,,GenEval
gen-1765430203-ZDGy4hXHhgHVWmSYTUGO,2025-12-11 05:16:43.032,0,,,0,0.000458,363,140,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1144,559,,GenEval
gen-1765430197-jiORDkGUGyqQTj6eZWZA,2025-12-11 05:16:37.388,0,,,0,0.002805,300,501,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,4103,1397,,GenEval
gen-1765430193-SABSqLu8dcZAgqhqiVQP,2025-12-11 05:16:33.291,0,,,0,0.002401,346,411,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2629,1144,,GenEval
gen-1765430189-x72AunESnO0KrH5OEllM,2025-12-11 05:16:29.392,0,,,0,0.002161,351,362,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2538,1069,,GenEval
gen-1765430187-S0Eerv7kksCutPL1aLAb,2025-12-11 05:16:27.972,0,,,,0.000917,134,75,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,431,363,,GenEval
gen-1765430184-IFbl9oEJqn0lhxIrRmTF,2025-12-11 05:16:24.586,0,,,0,0.001798,288,302,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2518,667,,GenEval
