generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766181790-WZlOKRishj41XP5Qch2t,2025-12-19 22:03:10.656,0,,,0,0.004074,1629,489,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,5258,814,,GenEval
gen-1766181789-BqDCYPwtyu2m5YlESsx0,2025-12-19 22:03:09.545,0,,,,0.001393,1311,246,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2116,819,,GenEval
gen-1766181786-xxH1LyQHsGgsHnFvswx7,2025-12-19 22:03:06.439,0,,,,0.003013,4449,263,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2418,884,,GenEval
gen-1766181785-gjS2tLWWrDAjvjpfCYYB,2025-12-19 22:03:05.304,0,,,,0.000332,232,72,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1040,695,,GenEval
gen-1766181782-MHcBxxFwDaXu5tUglIla,2025-12-19 22:03:02.851,0,,,,0.003275,4697,309,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2348,1314,,GenEval
gen-1766181781-szxGhHgPUdtgOhBSsj2A,2025-12-19 22:03:01.225,0,,,,0.001058,1337,130,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1447,852,,GenEval
gen-1766181779-BjpJ6RsckLx0ajmJgBbJ,2025-12-19 22:02:59.488,0,,,0,0.004552,1180,274,0,0,openai/gpt-4.1-2025-04-14,OpenAI,standard,false,true,,completed,stop,10544,480,,GenEval
gen-1766181778-b9aUVAqROMnYCvGW7UU6,2025-12-19 22:02:58.938,0,,,,0.001095,1320,145,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1437,665,,GenEval
gen-1766181776-r324yvU8u5JkUZi9drES,2025-12-19 22:02:56.623,0,,,,0.001147,1389,151,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1469,826,,GenEval
gen-1766181774-4fhI8mwYCef5QrkSdEG5,2025-12-19 22:02:54.172,0,,,,0.001025,1282,128,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1376,707,,GenEval
gen-1766181772-MZUPvPAKNeMFaM4leJ9n,2025-12-19 22:02:52.196,0,,,,0.000509,364,109,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1252,716,,GenEval
gen-1766181770-peTfLnxsyZOLwooMerBI,2025-12-19 22:02:50.912,0,,,,0.000359,232,81,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1222,633,,GenEval
gen-1766181769-vkTwuTT7ZEQeligTCqzH,2025-12-19 22:02:49.669,0,,,0,0.010443,1916,313,0,0,anthropic/claude-4.5-sonnet-20250929,Amazon Bedrock,standard,false,true,,stop,stop,7922,1752,,GenEval
gen-1766181769-Pbl9s1d7ZVPXET1kVE3F,2025-12-19 22:02:48.998,0,,,,0.000971,527,236,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1864,638,,GenEval
gen-1766181767-0rhcrJcM48Di2j2vTJTb,2025-12-19 22:02:47.705,0,,,,0.001014,1320,118,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1230,705,,GenEval
gen-1766181764-U21Za5o9RMHcZwGiUo6v,2025-12-19 22:02:44.690,0,,,,0.005326,9525,188,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2054,938,,GenEval
gen-1766181764-sMGohWGSwICXC9hFXVwB,2025-12-19 22:02:44.032,0,,,0,0.005053,2333,544,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,4264,925,,GenEval
gen-1766181763-7RxELPJxYE8Ua9pfHDn1,2025-12-19 22:02:43.526,0,,,,0.000377,232,87,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1100,680,,GenEval
gen-1766181761-vb3bgJfPZR7oyhUR7d2H,2025-12-19 22:02:41.567,0,,,,0.003595,1436,180,0,0,openai/gpt-5.1-chat-20251113,OpenAI,standard,false,true,,completed,tool_calls,1652,548,,GenEval
gen-1766181761-xUcuNhQ3Ptl6brm2nRkS,2025-12-19 22:02:41.535,0,,,,0.000933,529,223,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1922,754,,GenEval
